DXCCSID,CostToChargeRatio,Year
1,0.98852,2011
2,0.96212,2011
3,0.985,2011
4,0.94565,2011
5,0.92979,2011
6,0.92325,2011
7,0.96591,2011
8,0.95186,2011
9,0.98852,2011
10,0.98852,2011
11,0.9778,2011
12,0.96662,2011
13,0.97285,2011
14,0.97792,2011
15,0.98608,2011
16,0.92774,2011
17,0.96011,2011
18,0.96307,2011
19,0.96352,2011
20,0.98852,2011
21,0.96582,2011
22,0.98852,2011
23,0.97169,2011
24,0.93208,2011
25,0.95983,2011
26,0.92975,2011
27,0.95859,2011
28,0.96088,2011
29,0.9485,2011
30,0.98852,2011
31,0.98852,2011
32,0.98261,2011
33,0.98138,2011
34,0.98852,2011
35,0.93693,2011
36,0.95874,2011
37,0.98852,2011
38,0.9239,2011
39,0.91653,2011
40,0.95174,2011
41,0.94262,2011
42,0.94984,2011
43,0.98852,2011
44,0.94379,2011
45,0.90623,2011
46,0.96448,2011
47,0.97621,2011
48,0.98076,2011
49,1.01305,2011
50,0.97912,2011
51,0.98685,2011
52,0.98852,2011
53,0.98852,2011
54,1.00512,2011
55,0.99006,2011
56,0.98534,2011
57,0.98852,2011
58,0.95894,2011
59,0.93024,2011
60,0.95047,2011
61,1.01699,2011
62,0.89216,2011
63,0.94191,2011
64,0.98852,2011
76,0.95358,2011
77,0.92703,2011
78,0.94533,2011
79,0.99489,2011
80,0.94749,2011
81,0.99201,2011
82,0.95811,2011
83,0.92868,2011
84,0.90209,2011
85,0.96105,2011
86,0.98852,2011
87,0.98852,2011
88,0.98852,2011
89,0.98852,2011
90,0.98295,2011
91,0.92804,2011
92,0.9998,2011
93,0.89641,2011
94,0.96068,2011
95,0.95547,2011
96,0.96305,2011
97,0.95499,2011
98,0.92266,2011
99,0.96273,2011
100,0.92272,2011
101,0.92338,2011
102,0.86398,2011
103,0.97919,2011
104,0.98852,2011
105,0.95756,2011
106,0.96364,2011
107,0.93735,2011
108,0.994,2011
109,0.94654,2011
110,0.95128,2011
111,0.92935,2011
112,0.87893,2011
113,1.01646,2011
114,0.94425,2011
115,0.94425,2011
116,0.95362,2011
117,0.95461,2011
118,1.00145,2011
119,0.98852,2011
120,0.96721,2011
121,0.99661,2011
122,0.98221,2011
123,0.99647,2011
124,0.99174,2011
125,1.06073,2011
126,0.98573,2011
127,0.99843,2011
128,1.01716,2011
129,1.00151,2011
130,0.99127,2011
131,0.98193,2011
132,0.98852,2011
133,0.95457,2011
134,1.00321,2011
135,0.98553,2011
136,0.97985,2011
137,0.98978,2011
138,0.95283,2011
139,0.9376,2011
140,0.92162,2011
141,0.97355,2011
142,0.90163,2011
143,0.97637,2011
144,0.96541,2011
145,0.96353,2011
146,0.95747,2011
147,0.99297,2011
148,0.94179,2011
149,0.91802,2011
151,0.93874,2011
152,0.92956,2011
153,0.96067,2011
154,0.91504,2011
155,0.98007,2011
156,0.96143,2011
157,0.99192,2011
158,0.93957,2011
159,0.98424,2011
160,0.91633,2011
161,0.96323,2011
162,0.98936,2011
163,0.96645,2011
164,1.00069,2011
165,0.98898,2011
166,1.00621,2011
167,1.00664,2011
168,0.93675,2011
169,0.94754,2011
170,0.94441,2011
171,0.92483,2011
172,0.92545,2011
173,0.98852,2011
174,0.98852,2011
175,0.94619,2011
176,0.98852,2011
177,0.96944,2011
178,0.98852,2011
179,0.98852,2011
180,0.93033,2011
181,1.20587,2011
182,1.21729,2011
183,1.21595,2011
184,1.29067,2011
185,1.29699,2011
186,1.26161,2011
187,1.19834,2011
188,1.22601,2011
189,1.16874,2011
190,1.22411,2011
191,1.28828,2011
192,1.39276,2011
193,1.38551,2011
194,1.38394,2011
195,1.24052,2011
196,1.37057,2011
197,1.02734,2011
198,0.98896,2011
199,1.03311,2011
200,1.01102,2011
201,0.99507,2011
202,0.95422,2011
203,0.9426,2011
204,0.95713,2011
205,0.94772,2011
206,0.98852,2011
207,0.95991,2011
208,0.97177,2011
209,0.94154,2011
210,0.93825,2011
211,0.96804,2011
212,0.94337,2011
213,0.93128,2011
214,1.10912,2011
215,0.99751,2011
216,1.04407,2011
217,0.99647,2011
218,1.28012,2011
219,1.18242,2011
220,0.98852,2011
221,1.27711,2011
222,1.32478,2011
223,0.98852,2011
224,1.2221,2011
225,0.95202,2011
226,0.96437,2011
227,0.95053,2011
228,0.92646,2011
229,0.94337,2011
230,0.95291,2011
231,0.94849,2011
232,0.95118,2011
233,0.93756,2011
234,0.93499,2011
235,0.90809,2011
236,0.97791,2011
237,0.96357,2011
238,0.99074,2011
239,0.94662,2011
240,1.00692,2011
241,1.00641,2011
242,0.97582,2011
243,0.91119,2011
244,0.9374,2011
245,0.90198,2011
246,0.94969,2011
247,0.96016,2011
248,0.98856,2011
249,0.98852,2011
250,0.94876,2011
251,0.88555,2011
252,0.9477,2011
253,1.0094,2011
254,1.15939,2011
255,0.98852,2011
256,1.15932,2011
257,1.02567,2011
258,0.98852,2011
259,0.97678,2011
650,1.34489,2011
651,1.25136,2011
652,1.30645,2011
653,1.39609,2011
654,0.98852,2011
655,1.26031,2011
656,1.29831,2011
657,1.37728,2011
658,0.98852,2011
659,1.32819,2011
660,1.09694,2011
661,1.10041,2011
662,0.98852,2011
663,0.94252,2011
670,1.17922,2011
